method_id,group,display_name,episode_idx,episode_seed,success,final_coverage,episode_reward,map_fingerprint,episode_length,repeat_visit_ratio,done_reason,timeout_flag,weighted_info_gain_sum,policy_frontier_target_step_count,policy_fallback_step_count,accessible_block_count,total_accessible_unknown_area,total_frontier_cluster_count,mean_block_area,local_frontier_coverage,local_frontier_block_area_mean,value_total_block_count_before_cap,value_packed_block_count,value_truncated_block_count,value_block_cap_hit_flag,value_total_entry_count_before_cap,value_packed_entry_count,value_truncated_entry_count,value_entry_cap_hit_block_count,value_entry_cap_hit_flag,value_max_frontier_clusters_per_block,value_mean_frontier_clusters_per_block,info_reward_sum,step_penalty_sum,recent_revisit_penalty_sum,turn_penalty_sum,timeout_penalty_sum,terminal_bonus_sum,delta_empty_sum,delta_obstacle_sum,empty_info_gain_sum,obstacle_info_gain_sum,weighted_obstacle_info_gain_sum,empty_info_reward_sum,obstacle_info_reward_sum,obstacle_info_contribution_ratio,recent_revisit_trigger_count,stall_trigger_count,zero_info_step_count,turn_ge_90_count,turn_135_count,turn_180_count,turn_penalty_weight_sum,coverage_gain_per_step,weighted_info_gain_per_step,zero_info_rate,recent_revisit_rate,stall_rate,turn_burden_rate,timeout_rate,checkpoint_path
B,B,classical_frontier_greedy,1,20261323,0,0.2337,-86.98654765579914,e1559bd8eebb5ad7,600,0.956738768718802,max_episode_steps,1.0,6.437817448067165,600.0,0.0,3.948333263397217,449.3550109863281,8.006667137145996,114.13985443115234,0.012668178416788578,0.32575318217277527,3.948333263397217,3.948333263397217,0.0,0.0,8.006667137145996,8.006667137145996,0.0,0.0,0.0,4.023333549499512,2.046527862548828,19.313452344201494,-11.999999999999833,-57.50000000000055,-28.800000000000274,-8.0,0.0,190.0,49.0,6.047887837492023,1.5597184423005737,0.3899296105751434,18.143663512476067,1.1697888317254308,0.06056860321384426,575.0,568.0,576.0,578.0,0.0,575.0,576.0,0.0003895,0.010729695746778607,0.96,0.9583333333333334,0.9466666666666667,0.96,1.0,
B,B,classical_frontier_greedy,2,20261324,0,0.6134,2.1301481671884854,b7bac2374930e370,600,0.8469217970049917,max_episode_steps,1.0,28.743382722396294,600.0,0.0,1.068333387374878,313.9949951171875,2.4000000953674316,307.7568359375,0.01915721967816353,0.9830355644226074,1.068333387374878,1.068333387374878,0.0,0.0,2.4000000953674316,2.4000000953674316,0.0,0.0,0.0,2.319999933242798,2.256805419921875,86.23014816718887,-11.999999999999833,-50.90000000000045,-13.200000000000053,-8.0,0.0,865.0,152.0,27.533805154897877,4.838310269993618,1.2095775674984044,82.6014154646937,3.628732702495212,0.04208194905869322,509.0,508.0,519.0,277.0,1.0,257.0,264.0,0.0010223333333333332,0.04790563787066049,0.865,0.8483333333333334,0.8466666666666667,0.44,1.0,
B,B,classical_frontier_greedy,3,20261325,1,0.9522,154.3385564476889,00e453e62ca6e32c,198,0.03015075376884422,coverage_reached,0.0,46.50507437145178,198.0,0.0,2.60606050491333,520.4091186523438,5.323232173919678,223.47096252441406,0.03331500664353371,0.5871515870094299,2.60606050491333,2.60606050491333,0.0,0.0,5.323232173919678,5.323232173919678,0.0,0.0,0.0,3.616161584854126,2.203871965408325,139.5152231143555,-3.960000000000003,-0.6,-0.6166666666666668,0.0,20.0,1375.0,344.0,43.76760935027124,10.9498600847224,2.7374650211806,131.30282805081367,8.212395063541791,0.05886379192334011,6.0,4.0,23.0,25.0,6.0,3.0,12.333333333333337,0.0048090909090909096,0.23487411298713018,0.11616161616161616,0.030303030303030304,0.020202020202020204,0.06228956228956231,0.0,
B,B,classical_frontier_greedy,4,20261326,0,0.2988,-74.29220412801007,94e28dfeebda64b4,600,0.9217970049916805,max_episode_steps,1.0,9.597043068441293,600.0,0.0,2.0466666221618652,224.44667053222656,4.163333415985107,111.07622528076172,0.01874527521431446,0.48447757959365845,2.0466666221618652,2.0466666221618652,0.0,0.0,4.163333415985107,4.163333415985107,0.0,0.0,0.0,2.1050000190734863,2.0403332710266113,28.791129205323873,-11.999999999999833,-55.40000000000052,-27.683333333333593,-8.0,0.0,278.0,94.0,8.849014835909378,2.992112930127631,0.7480282325319078,26.547044507728135,2.2440846975957243,0.07794361525704811,554.0,553.0,563.0,557.0,0.0,552.0,553.6666666666667,0.0004980000000000001,0.01599507178073549,0.9383333333333334,0.9233333333333333,0.9216666666666666,0.9227777777777779,1.0,
B,B,classical_frontier_greedy,5,20261327,0,0.8948,54.35404912568613,696d1574721086e1,600,0.6805324459234608,max_episode_steps,1.0,45.40690526411775,600.0,0.0,3.051666736602783,369.4983215332031,3.4649999141693115,124.32241821289062,0.023526078090071678,0.6650093197822571,3.051666736602783,3.051666736602783,0.0,0.0,3.4649999141693115,3.4649999141693115,0.0,0.0,0.0,1.3483333587646484,1.1371943950653076,136.2207157923532,-11.999999999999833,-40.90000000000031,-20.966666666666832,-8.0,0.0,1347.0,318.0,42.876341668956606,10.122254380644549,2.530563595161137,128.62902500686982,7.591690785483398,0.05573080967402727,409.0,410.0,438.0,435.0,5.0,409.0,419.33333333333337,0.0014913333333333334,0.07567817544019625,0.73,0.6816666666666666,0.6833333333333333,0.698888888888889,1.0,
B,B,classical_frontier_greedy,6,20261328,1,0.9528,158.53700749653206,c4ab89318124422d,176,0.03954802259887006,coverage_reached,0.0,47.85789138773295,176.0,0.0,1.6647727489471436,458.61932373046875,4.801136493682861,333.0582275390625,0.0406746007502079,0.7817214727401733,1.6647727489471436,1.6647727489471436,0.0,0.0,4.801136493682861,4.801136493682861,0.0,0.0,0.0,3.75,3.329545497894287,143.57367416319875,-3.5200000000000027,-0.7,-0.8166666666666672,0.0,20.0,1413.0,362.0,44.97718691776965,11.522817879853214,2.8807044699633035,134.9315607533089,8.642113409889912,0.060192883272364446,7.0,0.0,27.0,37.0,6.0,3.0,16.333333333333336,0.0054136363636363635,0.27191983743030085,0.1534090909090909,0.03977272727272727,0.0,0.09280303030303032,0.0,
B,B,classical_frontier_greedy,7,20261329,0,0.7204,13.859445328416543,cc612efdd927697b,600,0.7587354409317804,max_episode_steps,1.0,34.18648177613911,600.0,0.0,1.2450000047683716,516.0449829101562,3.683333396911621,448.85223388671875,0.011670446023344994,0.9363855123519897,1.2450000047683716,1.2450000047683716,0.0,0.0,3.683333396911621,3.683333396911621,0.0,0.0,0.0,3.258333444595337,3.0426390171051025,102.55944532841737,-11.999999999999833,-45.60000000000038,-23.100000000000193,-8.0,0.0,1018.0,224.0,32.40394641350988,7.130141450516911,1.7825353626292277,97.21183924052976,5.347606087887677,0.052141527001862094,456.0,456.0,480.0,473.0,1.0,456.0,462.0,0.0012006666666666667,0.056977469626898515,0.8,0.76,0.76,0.77,1.0,
B,B,classical_frontier_greedy,8,20261330,0,0.8278,44.001067355667104,6838c45c0a7cc6ed,600,0.7354409317803661,max_episode_steps,1.0,43.25035578522254,600.0,0.0,1.3566666841506958,311.7133483886719,3.809999942779541,246.29249572753906,0.008869991637766361,0.1258412003517151,1.3566666841506958,1.3566666841506958,0.0,0.0,3.809999942779541,3.809999942779541,0.0,0.0,0.0,3.1449999809265137,2.9666666984558105,129.7510673556677,-11.999999999999833,-43.50000000000035,-22.25000000000018,-8.0,0.0,1286.0,291.0,40.93465136323549,9.26281768794831,2.3157044219870775,122.80395408970648,6.947113265961228,0.05354185832566693,435.0,441.0,471.0,468.0,3.0,432.0,445.0,0.0013796666666666666,0.07208392630870424,0.785,0.725,0.735,0.7416666666666667,1.0,
B,B,classical_frontier_greedy,9,20261331,0,0.314,-68.76807205635299,e4092f1b92f5ee1b,600,0.940099833610649,max_episode_steps,1.0,12.016198203438101,600.0,0.0,2.011666774749756,448.19000244140625,4.989999771118164,223.711669921875,0.05197656899690628,0.8030376434326172,2.011666774749756,2.011666774749756,0.0,0.0,4.989999771118164,4.989999771118164,0.0,0.0,0.0,2.991666555404663,2.4852776527404785,36.04859461031429,-11.999999999999833,-56.50000000000053,-28.316666666666936,-8.0,0.0,359.0,74.0,11.427324913998088,2.3554931577600504,0.5888732894400126,34.28197474199425,1.7666198683200383,0.049006622516556304,565.0,559.0,568.0,569.0,0.0,565.0,566.3333333333333,0.0005233333333333333,0.020026997005730168,0.9466666666666667,0.9416666666666667,0.9316666666666666,0.9438888888888888,1.0,
B,B,classical_frontier_greedy,10,20261332,0,0.5934,-12.212504862974743,067fe7b61895f787,600,0.8119800332778702,max_episode_steps,1.0,26.984720601230862,600.0,0.0,1.1416666507720947,541.6649780273438,4.461666584014893,503.6055603027344,0.02320105955004692,0.9388812184333801,1.1416666507720947,1.1416666507720947,0.0,0.0,4.461666584014893,4.461666584014893,0.0,0.0,0.0,4.176666736602783,4.017499923706055,80.95416180369254,-11.999999999999833,-48.70000000000042,-24.46666666666688,-8.0,0.0,797.0,203.0,25.369297928848113,6.46169068953095,1.6154226723827374,76.10789378654435,4.846268017148212,0.05986434680035387,487.0,475.0,506.0,500.0,4.0,482.0,489.33333333333337,0.000989,0.04497453433538477,0.8433333333333334,0.8116666666666666,0.7916666666666666,0.8155555555555556,1.0,
